,Response Metric,Performance Metric,Correlation
393,DLS_mistake_slope_down,total_hits,0.4674237098060589
180,DMS_hit_auc,false_alarm_rate,0.46677505287685206
292,VS_mistake_peak_timing,hit_rate,0.4661175341923005
263,DMS_miss_slope_down,hit_rate,0.4649966831102914
480,DMS_hit_auc,total_mistakes,0.46481591640967024
60,VS_miss_auc,c_score,-0.4612262131053794
433,VS_hit_slope_down,total_hits,0.4605939175924961
260,DMS_miss_auc,hit_rate,0.45822949438236266
5,DLS_hit_auc,c_score,-0.45764861543856633
418,DMS_mistake_slope_down,total_hits,-0.4548878912496645
15,DLS_mistake_auc,c_score,0.4547160131666852
208,VS_hit_slope_down,false_alarm_rate,0.45406414684727947
336,DMS_miss_maximal_value,participation,0.454011261140056
119,DMS_mistake_slope_up,d_prime,-0.4526588777625152
104,DMS_cor_reject_slope_up,d_prime,0.45248287265574993
338,DMS_miss_slope_down,participation,0.45211121742650817
101,DMS_cor_reject_maximal_value,d_prime,0.45156133050323227
261,DMS_miss_maximal_value,hit_rate,0.450495780945441
268,DMS_mistake_slope_down,hit_rate,-0.4501704176683676
513,VS_miss_slope_down,total_mistakes,0.4491069934353455
398,DLS_reward_collect_slope_down,total_hits,-0.4483891440618812
415,DMS_mistake_auc,total_hits,-0.4466126302055917
449,VS_reward_collect_slope_up,total_hits,0.44658092810369004
39,DMS_miss_slope_up,c_score,-0.4459005020648337
197,DMS_reward_collect_peak_timing,false_alarm_rate,-0.4447280010774174
305,DLS_hit_auc,participation,0.44442225758774007
55,VS_hit_auc,c_score,-0.44275364281048
347,DMS_reward_collect_peak_timing,participation,-0.44274424448267813
38,DMS_miss_slope_down,c_score,-0.4399406308177176
284,VS_hit_slope_up,hit_rate,0.4392324817841181
324,DLS_reward_collect_slope_up,participation,0.4380791981334426
485,DMS_miss_auc,total_mistakes,0.43782426988785855
95,DLS_reward_collect_auc,d_prime,0.43371548995554327
505,VS_hit_auc,total_mistakes,0.4334448190326393
339,DMS_miss_slope_up,participation,0.43332536216682827
152,DLS_cor_reject_peak_timing,false_alarm_rate,-0.4328276092798268
213,VS_miss_slope_down,false_alarm_rate,0.43018787245562307
48,DMS_reward_collect_slope_down,c_score,0.4300734773444613
87,DLS_miss_peak_timing,d_prime,-0.42995168070323164
497,DMS_reward_collect_peak_timing,total_mistakes,-0.42864256838265097
520,VS_reward_collect_auc,total_mistakes,0.427668543854819
173,DLS_reward_collect_slope_down,false_alarm_rate,-0.4264274999024003
290,VS_mistake_auc,hit_rate,0.42514232125712514
262,DMS_miss_peak_timing,hit_rate,-0.4229138132721664
403,DMS_cor_reject_slope_down,total_hits,0.42181988628711586
25,DMS_cor_reject_auc,c_score,-0.4205621990903295
452,DLS_cor_reject_peak_timing,total_mistakes,-0.4197749887786719
272,DMS_reward_collect_peak_timing,hit_rate,-0.41927163182722904
430,VS_hit_auc,total_hits,0.4192039280561464
504,VS_cor_reject_slope_up,total_mistakes,0.4191370226423078
36,DMS_miss_maximal_value,c_score,-0.41840854527900356
57,VS_hit_peak_timing,c_score,-0.41818600553049795
80,DLS_hit_auc,d_prime,0.41662320219411586
35,DMS_miss_auc,c_score,-0.41658236653610753
167,DLS_mistake_peak_timing,false_alarm_rate,0.4158127400262807
473,DLS_reward_collect_slope_down,total_mistakes,-0.4143285169705397
126,VS_cor_reject_maximal_value,d_prime,0.41346393722064856
467,DLS_mistake_peak_timing,total_mistakes,0.4134179579621606
185,DMS_miss_auc,false_alarm_rate,0.4133199634938033
204,VS_cor_reject_slope_up,false_alarm_rate,0.4119090950250946
28,DMS_cor_reject_slope_down,c_score,-0.41175201729095945
93,DLS_mistake_slope_down,d_prime,0.4107092037199212
267,DMS_mistake_peak_timing,hit_rate,0.4095388827891889
316,DLS_mistake_maximal_value,participation,-0.40911857210296443
432,VS_hit_peak_timing,total_hits,0.4082430778948151
22,DLS_reward_collect_peak_timing,c_score,0.40813792195716564
479,DMS_cor_reject_slope_up,total_mistakes,0.40565335515718554
365,VS_mistake_auc,participation,0.4051549945897064
129,VS_cor_reject_slope_up,d_prime,0.4051024702370068
281,VS_hit_maximal_value,hit_rate,0.40264460100878113
50,VS_cor_reject_auc,c_score,-0.4023418084756743
371,VS_reward_collect_maximal_value,participation,0.4019572845695585
303,DLS_cor_reject_slope_down,participation,-0.4013288440124517
422,DMS_reward_collect_peak_timing,total_hits,-0.40007306648840935
114,DMS_miss_slope_up,d_prime,0.399856003066762
265,DMS_mistake_auc,hit_rate,-0.39884490765338776
340,DMS_mistake_auc,participation,-0.39812900831302833
328,DMS_cor_reject_slope_down,participation,0.3933706346733153
253,DMS_cor_reject_slope_down,hit_rate,0.3933033522010072
205,VS_hit_auc,false_alarm_rate,0.39303966350848163
282,VS_hit_peak_timing,hit_rate,0.3907286601062695
162,DLS_miss_peak_timing,false_alarm_rate,-0.38482758016560425
176,DMS_cor_reject_maximal_value,false_alarm_rate,0.38442394275155645
166,DLS_mistake_maximal_value,false_alarm_rate,-0.38375526553026346
220,VS_reward_collect_auc,false_alarm_rate,0.3822121857091181
476,DMS_cor_reject_maximal_value,total_mistakes,0.3813459794319682
179,DMS_cor_reject_slope_up,false_alarm_rate,0.38050967039802885
123,DMS_reward_collect_slope_down,d_prime,-0.3793931767149583
142,VS_mistake_peak_timing,d_prime,0.37896472134421294
466,DLS_mistake_maximal_value,total_mistakes,-0.3780304159688313
68,VS_mistake_slope_down,c_score,0.37762529829914554
295,VS_reward_collect_auc,hit_rate,0.3775365045333805
187,DMS_miss_peak_timing,false_alarm_rate,-0.37704694150309437
266,DMS_mistake_maximal_value,hit_rate,-0.37489069766323824
192,DMS_mistake_peak_timing,false_alarm_rate,0.3739258831705394
115,DMS_mistake_auc,d_prime,-0.3738271419463175
462,DLS_miss_peak_timing,total_mistakes,-0.3736375758629196
24,DLS_reward_collect_slope_up,c_score,-0.37289867513370545
350,VS_cor_reject_auc,participation,0.37021288876172626
416,DMS_mistake_maximal_value,total_hits,-0.3699995290689504
341,DMS_mistake_maximal_value,participation,-0.3690575165140303
283,VS_hit_slope_down,hit_rate,0.367554898602293
337,DMS_miss_peak_timing,participation,-0.36696311750468524
299,VS_reward_collect_slope_up,hit_rate,0.3669151472461056
153,DLS_cor_reject_slope_down,false_alarm_rate,-0.36433791606278393
511,VS_miss_maximal_value,total_mistakes,0.36403878601994966
317,DLS_mistake_peak_timing,participation,0.36349798143593276
105,DMS_hit_auc,d_prime,0.3634490646863108
521,VS_reward_collect_maximal_value,total_mistakes,0.36267550710300095
113,DMS_miss_slope_down,d_prime,0.3621493167838211
318,DLS_mistake_slope_down,participation,0.3613462181983449
453,DLS_cor_reject_slope_down,total_mistakes,-0.36055019576932634
42,DMS_mistake_peak_timing,c_score,-0.36037058457590143
385,DLS_miss_auc,total_hits,-0.3589584901916133
357,VS_hit_peak_timing,participation,0.35873801144841816
412,DMS_miss_peak_timing,total_hits,-0.3571022909487507
486,DMS_miss_maximal_value,total_mistakes,0.35651435316538305
503,VS_cor_reject_slope_down,total_mistakes,0.35208640066807845
441,VS_mistake_maximal_value,total_hits,0.35104881632275603
71,VS_reward_collect_maximal_value,c_score,-0.35065000736820473
188,DMS_miss_slope_down,false_alarm_rate,0.3490561958850986
18,DLS_mistake_slope_down,c_score,-0.3486012302159947
186,DMS_miss_maximal_value,false_alarm_rate,0.348369238540127
488,DMS_miss_slope_down,total_mistakes,0.348366883746635
442,VS_mistake_peak_timing,total_hits,0.3435954769406077
446,VS_reward_collect_maximal_value,total_hits,0.3434550279002469
67,VS_mistake_peak_timing,c_score,-0.3414359419485144
211,VS_miss_maximal_value,false_alarm_rate,0.3396004063188375
111,DMS_miss_maximal_value,d_prime,0.335772798292005
247,DLS_reward_collect_peak_timing,hit_rate,-0.3323740641128548
191,DMS_mistake_maximal_value,false_alarm_rate,-0.33015136978375037
425,VS_cor_reject_auc,total_hits,0.32625022268844306
402,DMS_cor_reject_peak_timing,total_hits,-0.32567036851587816
102,DMS_cor_reject_peak_timing,d_prime,-0.3244705223097599
500,VS_cor_reject_auc,total_mistakes,0.3237495763028868
143,VS_mistake_slope_down,d_prime,0.32370433405472665
200,VS_cor_reject_auc,false_alarm_rate,0.3224652793816124
443,VS_mistake_slope_down,total_hits,-0.32235445072691554
280,VS_hit_auc,hit_rate,0.32220108722940677
487,DMS_miss_peak_timing,total_mistakes,-0.32108126770146084
342,DMS_mistake_peak_timing,participation,0.32057803770897764
189,DMS_miss_slope_up,false_alarm_rate,0.3195453055451706
349,DMS_reward_collect_slope_up,participation,0.3195394336422914
235,DLS_miss_auc,hit_rate,-0.31911949012931523
397,DLS_reward_collect_peak_timing,total_hits,-0.3170097010284681
128,VS_cor_reject_slope_down,d_prime,0.316872713150583
373,VS_reward_collect_slope_down,participation,0.3158506985125995
110,DMS_miss_auc,d_prime,0.315731818436596
17,DLS_mistake_peak_timing,c_score,-0.31537265521642815
221,VS_reward_collect_maximal_value,false_alarm_rate,0.31282079475530106
273,DMS_reward_collect_slope_down,hit_rate,-0.3115206397242566
233,DLS_hit_slope_down,hit_rate,0.31127638123977075
32,DMS_hit_peak_timing,c_score,-0.3096412385153121
492,DMS_mistake_peak_timing,total_mistakes,0.3086480357267518
491,DMS_mistake_maximal_value,total_mistakes,-0.30835622509992605
90,DLS_mistake_auc,d_prime,-0.30828122385514384
241,DLS_mistake_maximal_value,hit_rate,-0.3077394202882598
383,DLS_hit_slope_down,total_hits,0.3070929434068658
489,DMS_miss_slope_up,total_mistakes,0.30671803406682246
523,VS_reward_collect_slope_down,total_mistakes,0.30654929616298787
275,VS_cor_reject_auc,hit_rate,0.3060287919321134
369,VS_mistake_slope_up,participation,0.30595796711153556
277,VS_cor_reject_peak_timing,hit_rate,-0.30494328904907314
228,DLS_cor_reject_slope_down,hit_rate,-0.3048306978485709
499,DMS_reward_collect_slope_up,total_mistakes,0.30428336145751594
203,VS_cor_reject_slope_down,false_alarm_rate,0.30117869187849905
322,DLS_reward_collect_peak_timing,participation,-0.30097597700367773
308,DLS_hit_slope_down,participation,0.30034703928774503
127,VS_cor_reject_peak_timing,d_prime,-0.29834144512986654
378,DLS_cor_reject_slope_down,total_hits,-0.29768608807044655
390,DLS_mistake_auc,total_hits,-0.29750827506260763
391,DLS_mistake_maximal_value,total_hits,-0.2944067779081109
170,DLS_reward_collect_auc,false_alarm_rate,0.2942640811964639
470,DLS_reward_collect_auc,total_mistakes,0.2942388701720699
424,DMS_reward_collect_slope_up,total_hits,0.2925308966018015
478,DMS_cor_reject_slope_down,total_mistakes,0.2918777974034105
417,DMS_mistake_peak_timing,total_hits,0.2909636673141314
178,DMS_cor_reject_slope_down,false_alarm_rate,0.29076503398510783
423,DMS_reward_collect_slope_down,total_hits,-0.2885773878581157
313,DLS_miss_slope_down,participation,0.28485378145968654
368,VS_mistake_slope_down,participation,-0.2813010001584596
117,DMS_mistake_peak_timing,d_prime,0.27879193586973605
13,DLS_miss_slope_down,c_score,-0.27745780837795236
112,DMS_miss_peak_timing,d_prime,-0.27715210173429194
514,VS_miss_slope_up,total_mistakes,0.2767183055003383
240,DLS_mistake_auc,hit_rate,-0.27663222898909823
199,DMS_reward_collect_slope_up,false_alarm_rate,0.2728444332723527
73,VS_reward_collect_slope_down,c_score,-0.27159028868754725
103,DMS_cor_reject_slope_down,d_prime,0.2713345738959038
367,VS_mistake_peak_timing,participation,0.269658529185334
490,DMS_mistake_auc,total_mistakes,-0.26901202754902304
75,DLS_cor_reject_auc,d_prime,-0.2686398756325323
214,VS_miss_slope_up,false_alarm_rate,0.2674765126881569
190,DMS_mistake_auc,false_alarm_rate,-0.2674764189864908
450,DLS_cor_reject_auc,total_mistakes,0.2670041036366906
122,DMS_reward_collect_peak_timing,d_prime,-0.26641231572006563
116,DMS_mistake_maximal_value,d_prime,-0.2641512382585332
49,DMS_reward_collect_slope_up,c_score,-0.26243507683486045
